ProvID,Provinsi,Tanggal,Komoditas,Nilai,NilaiDiff,SemuaProvinsi,Kelompok,stdDev,Percentage,SemuaPercentage,stdDevPercentage,TanggalLast,TanggalInflasi,show,tanggal
10,Lampung,05 Mar 24,Beras,14800.0,Rp0,15950.0,5,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
18,Nusa Tenggara Barat,05 Mar 24,Beras,14800.0,Rp100,15950.0,5,1250.0,0.68,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
30,Sulawesi Barat,05 Mar 24,Beras,15250.0,Rp0,15950.0,4,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
16,Jawa Timur,05 Mar 24,Beras,15300.0,-Rp50,15950.0,4,1250.0,-0.33,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
8,Sumatera Selatan,05 Mar 24,Beras,15400.0,Rp0,15950.0,4,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
15,DI Yogyakarta,05 Mar 24,Beras,15400.0,Rp0,15950.0,4,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
4,Riau,05 Mar 24,Beras,15450.0,Rp0,15950.0,4,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
14,Jawa Tengah,05 Mar 24,Beras,15600.0,Rp0,15950.0,4,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
29,Sulawesi Utara,05 Mar 24,Beras,15650.0,Rp0,15950.0,4,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
31,Maluku,05 Mar 24,Beras,15650.0,Rp0,15950.0,4,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
12,Jawa Barat,05 Mar 24,Beras,15800.0,Rp0,15950.0,4,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
34,Papua Barat,05 Mar 24,Beras,15900.0,Rp0,15950.0,4,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
7,Bengkulu,05 Mar 24,Beras,15950.0,Rp50,15950.0,4,1250.0,0.31,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
19,Nusa Tenggara Timur,05 Mar 24,Beras,15950.0,Rp50,15950.0,4,1250.0,0.31,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
23,Kalimantan Timur,05 Mar 24,Beras,16050.0,Rp150,15950.0,4,1250.0,0.94,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
13,DKI Jakarta,05 Mar 24,Beras,16150.0,Rp0,15950.0,3,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
17,Bali,05 Mar 24,Beras,16200.0,-Rp100,15950.0,3,1250.0,-0.61,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
27,Sulawesi Tenggara,05 Mar 24,Beras,16200.0,Rp100,15950.0,3,1250.0,0.62,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
20,Kalimantan Barat,05 Mar 24,Beras,16350.0,Rp0,15950.0,3,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
9,Kepulauan Bangka Belitung,05 Mar 24,Beras,16500.0,Rp0,15950.0,3,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
28,Sulawesi Tengah,05 Mar 24,Beras,16500.0,Rp0,15950.0,3,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
32,Maluku Utara,05 Mar 24,Beras,16700.0,Rp50,15950.0,3,1250.0,0.3,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
11,Banten,05 Mar 24,Beras,16750.0,Rp0,15950.0,3,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
24,Kalimantan Utara,05 Mar 24,Beras,16850.0,Rp50,15950.0,3,1250.0,0.3,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
3,Sumatera Barat,05 Mar 24,Beras,17200.0,Rp150,15950.0,3,1250.0,0.88,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
33,Papua,05 Mar 24,Beras,17350.0,Rp0,15950.0,2,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
25,Gorontalo,05 Mar 24,Beras,18000.0,Rp150,15950.0,2,1250.0,0.84,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
21,Kalimantan Selatan,05 Mar 24,Beras,18650.0,Rp0,15950.0,1,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
22,Kalimantan Tengah,05 Mar 24,Beras,19500.0,Rp0,15950.0,1,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
2,Sumatera Utara,06 Mar 24,Beras,13800.0,Rp0,15950.0,5,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
1,Aceh,06 Mar 24,Beras,13850.0,Rp50,15950.0,5,1250.0,0.36,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
26,Sulawesi Selatan,06 Mar 24,Beras,14100.0,Rp0,15950.0,5,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
5,Kepulauan Riau,06 Mar 24,Beras,14550.0,Rp0,15950.0,5,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
18,Nusa Tenggara Barat,06 Mar 24,Beras,14750.0,-Rp50,15950.0,5,1250.0,-0.34,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
6,Jambi,06 Mar 24,Beras,14800.0,Rp0,15950.0,5,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
10,Lampung,06 Mar 24,Beras,14800.0,Rp0,15950.0,5,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
30,Sulawesi Barat,06 Mar 24,Beras,15250.0,Rp0,15950.0,4,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
16,Jawa Timur,06 Mar 24,Beras,15300.0,Rp0,15950.0,4,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
8,Sumatera Selatan,06 Mar 24,Beras,15400.0,Rp0,15950.0,4,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
15,DI Yogyakarta,06 Mar 24,Beras,15400.0,Rp0,15950.0,4,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
4,Riau,06 Mar 24,Beras,15450.0,Rp0,15950.0,4,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
14,Jawa Tengah,06 Mar 24,Beras,15550.0,-Rp50,15950.0,4,1250.0,-0.32,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
29,Sulawesi Utara,06 Mar 24,Beras,15650.0,Rp0,15950.0,4,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
31,Maluku,06 Mar 24,Beras,15650.0,Rp0,15950.0,4,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
12,Jawa Barat,06 Mar 24,Beras,15800.0,Rp0,15950.0,4,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
34,Papua Barat,06 Mar 24,Beras,15900.0,Rp0,15950.0,4,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
7,Bengkulu,06 Mar 24,Beras,15950.0,Rp0,15950.0,4,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
19,Nusa Tenggara Timur,06 Mar 24,Beras,15950.0,Rp0,15950.0,4,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
23,Kalimantan Timur,06 Mar 24,Beras,16100.0,Rp50,15950.0,4,1250.0,0.31,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
13,DKI Jakarta,06 Mar 24,Beras,16150.0,Rp0,15950.0,3,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
